이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/03/17/SB000000000056185105_1647504350_image1_S.jpeg,하루배송,유어아운스퀘어,[쿠폰] [세미A라인] 데일리 데님 하이웨스트 청치마 _유어아운스퀘어,10%,"30,240원","33,600원",82개 구매중,스커트
https://image.brandi.me/cproduct/2021/08/17/SB000000000036315083_1629202541_image1_S.jpeg,하루배송,뮤어린,[쫀득쫀득!/국내제작] 셔링으로 포인트~로맨틱 트임 주름 밴딩 미니 스커트_뮤어린,10%,"17,730원","19,700원",81개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/02/SB000000000060989946_1651489268_image1_S.jpeg,하루배송,얼그레이,[속바지내장/뒷밴딩] 여리 플레어 A라인 미니스커트(4col)_얼그레이,10%,"24,930원","27,700원",15개 구매중,스커트
https://image.brandi.me/cproduct/2022/02/25/SB000000000054123121_1645770333_image1_S.jpeg,하루배송,리틀페어리,"[허리수선X!들뜸제로/S,M,L]언발 구제 연청 하이웨스트 청 데님 미니 3부 코튼 스커트 h라인 청치마 SK (1color)_리틀페어리",10%,"31,950원","35,500원",48개 구매중,스커트
https://image.brandi.me/cproduct/2021/02/05/SB000000000020250367_1612528017_image1_S.jpeg,하루배송,치치룸,[세트가능/퀄보장] 베이직 슬림핏 H라인 투피스 미니 스커트 (3col) _ 치치룸,10%,"19,530원","21,700원",952개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/20/SB000000000062297407_1653091004_image1_S.jpeg,하루배송,버닝블루X하루배송,[쿠폰][3COLOR] 팝업 레이온 랩 매듭 밴딩 롱 스커트_버닝블루_2,10%,"21,330원","23,700원",14개 구매중,스커트
https://image.brandi.me/cproduct/2021/11/11/SB000000000043368924_1636621368_image1_S.jpeg,하루배송,치치룸,[같은원단바지내장] 투버튼 벨트 미니 빈티지 웨스턴 흑청 스커트 치마 바지 _ 치치룸,10%,"31,950원","35,500원",63개 구매중,스커트
https://image.brandi.me/cproduct/2021/10/13/SB000000000041295581_1634109787_image1_S.jpeg,하루배송,드까x하루배송,A라인 울 니트 플리츠 스커트_드까_2,7%,"22,040원","23,700원","1,696개 구매중",스커트
https://image.brandi.me/cproduct/2021/08/09/SB000000000034565709_1628504744_image1_S.jpeg,하루배송,뷰러,[ 안감바지 ] 하이틴 체크 테니스 미니스커트 (4COL)_뷰러,10%,"17,730원","19,700원",195개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/16/SB000000000062225395_1652681700_image1_S.jpeg,하루배송,302호,네츄럴린넨 플레어 롱스커트_302호,10%,"28,440원","31,600원",10개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/19/SB000000000059660076_1650329449_image1_S.jpeg,하루배송,메이제이,(3col)롱스커트 앞트임 슬릿스커트 포켓스커트_메이제이,10%,"33,660원","37,400원",14개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/12/SB000000000059060818_1649731481_image1_S.jpeg,하루배송,더핑크샵x하루배송,[유니크해!/속바지안감] 메린 벨트 플리츠 미니 스커트 (2color)_더핑크샵_2,10%,"19,530원","21,700원",150개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/08/SB000000000054996615_1646722844_image1_S.jpeg,하루배송,코브리조x하루배송,[뒷밴딩] 코튼 미니 스커트 4colors 하이웨스트 면 H라인 숏 치마 A라인_코브리조_2,10%,"24,930원","27,700원",179개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/20/SB000000000059842069_1650448845_image1_S.jpeg,하루배송,피톤치드,[심플베이직] 데일리 코튼 치마바지 2color_피톤치드,10%,"28,440원","31,600원",32개 구매중,스커트
https://image.brandi.me/cproduct/2021/10/21/SB000000000042111282_1634807783_image1_S.jpeg,하루배송,메종셀린,코듀로이 플리츠 스커트(치마바지)_메종셀린,10%,"21,330원","23,700원","6,457개 구매중",스커트
https://image.brandi.me/cproduct/2022/02/13/SB000000000052823129_1644770245_image1_S.jpeg,하루배송,블루밍에이치,[신축성굿] 라인이예쁜 머메이드 봄 롱스커트 4color_블루밍에이치,10%,"28,440원","31,600원",23개 구매중,스커트
https://image.brandi.me/cproduct/2021/06/26/SB000000000032030703_1624695408_image1_S.jpeg,하루배송,유어센트,[기본으로짱/교복ST/존예핏] DAILY SK 3colors_제로마켓,7%,"20,180원","21,700원",148개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/17/SB000000000062373857_1652781948_image1_S.jpeg,하루배송,드까x하루배송,뒷밴딩 슬릿 린넨스커트 8color_드까_2,7%,"22,040원","23,700원",27개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/28/SB000000000057394049_1648479448_image1_S.jpeg,하루배송,착시,44 55 66 스판기 좋은 밴딩 옆셔링 머메이드 롱스커트 그레이 블랙 2colors_착시,8%,"25,480원","27,700원",17개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/02/SB000000000054455580_1646210302_image1_S.jpeg,하루배송,룩앤무드,트리플 밴딩 머메이드 롱스커트_룩앤무드,10%,"26,640원","29,600원",14개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/17/SB000000000050370149_1642415091_image1_S.jpeg,하루배송,위시리스트,[S~2XL] 탄탄 기본 A라인 코튼 면스커트 (2color) _ 위시리스트,8%,"23,640원","25,700원",48개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/29/SB000000000060812593_1651215472_image1_S.jpeg,하루배송,일랑,[쿠폰] 코튼 토이 롱스커트_일랑,10%,"39,060원","43,400원",13개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/29/SB000000000060782633_1651209730_image1_S.jpeg,하루배송,프렌치오브,(3color)바캉스 린넨 트임 스티치 여름 롱 스커트_프렌치오브,10%,"31,950원","35,500원",43개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/17/SB000000000062390448_1652798951_image1_S.jpeg,하루배송,302호,프라하 프릴 3단캉캉 롱스커트_302호,10%,"30,240원","33,600원",15개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/03/SB000000000061072656_1651558673_image1_S.jpeg,하루배송,피치모어,[베이직] H라인 면 스판 기본 미니 스커트_피치모어,10%,"19,530원","21,700원",42개 구매중,스커트
