이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/02/18/SB000000000053506379_1645190666_image1_S.jpeg,하루배송,로그인,신상추천) 찰랑 슈가 핀턱 와이드 롱 슬랙스 (3 color) _로그인,8%,"27,230원","29,600원",34개 구매중,바지
https://image.brandi.me/cproduct/2022/02/18/SB000000000053445602_1645168551_image1_S.jpeg,하루배송,프렌치오브,펜톤 봄 데님 하이웨스트 와이드 일자 바지 팬츠_프렌치오브,10%,"39,060원","43,400원",73개 구매중,바지
https://image.brandi.me/cproduct/2022/02/15/SB000000000053067383_1644940538_image1_S.jpeg,하루배송,미우블랑,편한와이드핏!! 롱 루즈 핀턱 후크 와이드 슬랙스_미우블랑,8%,"23,640원","25,700원",14개 구매중,바지
https://image.brandi.me/cproduct/2022/02/10/SB000000000052591773_1644491362_image1_S.jpeg,하루배송,느루마켓,스카즈 와이드청바지 _느루마켓,10%,"37,260원","41,400원",11개 구매중,바지
https://image.brandi.me/cproduct/2022/02/10/SB000000000052565491_1644482368_image1_S.jpeg,하루배송,버튼나인,(딱떨어지는핏) 베이직 핀턱 일자 슬랙스(3color)_버튼나인,8%,"27,230원","29,600원",36개 구매중,바지
https://image.brandi.me/cproduct/2022/02/07/SB000000000052172711_1644237919_image1_S.jpeg,하루배송,라프랑,[슬림핏/3COL] 스프링 데일리 컷팅 슬림 일자 코튼 팬츠_라프랑,10%,"28,440원","31,600원",50개 구매중,바지
https://image.brandi.me/cproduct/2022/02/07/SB000000000052161713_1644229489_image1_S.jpeg,하루배송,유어아운스퀘어,[투버튼이 벨트처럼 감싸주는] 라인 대박 예쁜핏 하이웨스트 그레이시 스판 스키니진 _유어아운스퀘어,10%,"30,240원","33,600원",18개 구매중,바지
https://image.brandi.me/cproduct/2022/02/02/SB000000000051718162_1643808281_image1_S.jpeg,하루배송,노플레이스,(숏/롱 기장선택) 핀턱 와이드 밴딩 쭈리 팬츠_노플레이스,8%,"25,480원","27,700원",20개 구매중,바지
https://image.brandi.me/cproduct/2022/01/21/SB000000000050831557_1642744890_image1_S.jpeg,하루배송,프렌치오브,(2color)아워 롤업 하이웨스트 와이드 데님 청바지 팬츠_프렌치오브,10%,"33,660원","37,400원",95개 구매중,바지
https://image.brandi.me/cproduct/2022/01/11/SB000000000049899528_1641907432_image1_S.jpeg,하루배송,라프랑,[속밴딩/데일리] 킨스 슬림핏 일자 하이웨스트 워싱 중청 팬츠_라프랑,10%,"30,240원","33,600원",82개 구매중,바지
https://image.brandi.me/cproduct/2022/01/03/SB000000000043353806_1641198339_image1_S.jpeg,하루배송,알콜,[기본/롱] 트레이닝 와이드팬츠 (4color)_ 알콜,10%,"24,930원","27,700원",715개 구매중,바지
https://image.brandi.me/cproduct/2021/09/15/SB000000000039159958_1631702209_image1_S.jpeg,하루배송,백흑,[꾸안꾸 정석 / 남녀공용] 쭈리 핀턱 와이드 츄리닝팬츠 3color_백흑,9%,"34,030원","37,400원",22개 구매중,바지
https://image.brandi.me/cproduct/2021/09/02/SB000000000038060302_1630587633_image1_S.jpeg,하루배송,럽앤썸,"[기장선택!] 앞주름 와이드 롱팬츠 , 와이드 트레이닝바지 4color_럽앤썸",10%,"24,930원","27,700원",213개 구매중,바지
https://image.brandi.me/cproduct/2021/09/02/SB000000000037958891_1630544297_image1_S.jpeg,하루배송,미우블랑,[편함보장!!/맞춤핏] 딱예쁜기장감 스판 에어 슬림 슬랙스_미우블랑,8%,"24,470원","26,600원",51개 구매중,바지
https://image.brandi.me/cproduct/2021/08/26/SB000000000037341423_1629960666_image1_S.jpeg,하루배송,꼬맹x하루배송,[쿠폰] 자꾸자꾸와이드밴딩팬츠(3color)_꼬맹_2,10%,"20,430원","22,700원",503개 구매중,바지
https://image.brandi.me/cproduct/2021/09/30/SB000000000036770108_1632997228_image1_S.jpeg,하루배송,뷰러,[ 가을VER. /2중장치 ] 사이드 핀턱 일자핏 슬랙스 (3COL)_뷰러,10%,"30,240원","33,600원",694개 구매중,바지
https://image.brandi.me/cproduct/2021/08/19/SB000000000036537686_1629367326_image1_S.jpeg,하루배송,부기샵,[ 가격실화? // 허리뜰뜸제로 ] 허리밴딩 투버튼 하이웨스트 스키니 팬츠 _부기샵,10%,"29,340원","32,600원",370개 구매중,바지
https://image.brandi.me/cproduct/2021/08/02/SB000000000035255368_1627891461_image1_S.jpeg,하루배송,바잉몰x하루배송,[빅사이즈~2XL]룩앳미 속밴딩 블랙 슬림 일자 팬츠_바잉몰_2,7%,"21,110원","22,700원",259개 구매중,바지
https://image.brandi.me/cproduct/2021/07/26/SB000000000034674936_1627300387_image1_S.jpeg,하루배송,321g,[하이웨스트] 데일리 이지 린넨 와이드팬츠 (3color)_321g,7%,"22,040원","23,700원",10개 구매중,바지
https://image.brandi.me/cproduct/2021/07/01/SB000000000032436260_1625108227_image1_S.jpeg,하루배송,꼬맹x하루배송,[기획/핏추천!]하이원버튼핀턱와이드롱슬랙스(3color)_꼬맹_2,10%,"24,930원","27,700원",73개 구매중,바지
https://image.brandi.me/cproduct/2021/06/29/SB000000000032265211_1624952721_image1_S.jpeg,하루배송,지니슬로우x하루배송,데일리 린넨 롱 와이드 일자 밴딩 슬랙스 통 팬츠_지니슬로우_2,7%,"22,040원","23,700원",17개 구매중,바지
https://image.brandi.me/cproduct/2021/06/14/SB000000000030787837_1623647336_image1_S.jpeg,하루배송,라뷰마켓x하루배송,[린넨버젼] 봄부터 가을까지 촤르르핏 린넨 일자 슬림 밴딩 와이드팬츠_라뷰마켓_2,10%,"21,330원","23,700원",15개 구매중,바지
https://image.brandi.me/cproduct/2021/04/19/SB000000000025422177_1618834147_image1_S.jpeg,하루배송,321g,[하이웨스트] 롱 와이드 세미 부츠컷 슬랙스 (4color)_321g,8%,"27,230원","29,600원",261개 구매중,바지
https://image.brandi.me/cproduct/2021/03/28/SB000000000023685045_1616917110_image1_S.jpeg,하루배송,유어아운스퀘어,[~XL/롱다리-!] 하이웨스트 투버튼 컷팅 데일리 꾸안꾸 연청 와이드 데님팬츠 _유어아운스퀘어,10%,"19,530원","21,700원",55개 구매중,바지
https://image.brandi.me/cproduct/2020/10/29/21874108_1603900246_image1_M.jpg,하루배송,더베리x하루배송,[S~3XL] 꾸안꾸 내츄럴 일자와이드핏 데님팬츠_더베리,9%,"35,850원","39,400원",10개 구매중,바지
https://image.brandi.me/cproduct/2020/10/08/20792151_1602146528_image1_M.jpg,하루배송,미우블랑,사방스판!! 고탄력 쫀득 스판 블랙 스키니 (스판대박)_미우블랑,7%,"22,040원","23,700원",555개 구매중,바지
https://image.brandi.me/cproduct/2020/06/09/17193000_1591629995_image1_M.jpg,하루배송,니드온,[군살커버/2col] 하이웨스트 A핏 컷팅 데님반바지_니드온,30%,"23,520원","33,600원",27개 구매중,바지
https://image.brandi.me/cproduct/2022/04/22/SB000000000060131190_1650642575_image1_S.jpeg,하루배송,쏭룸,(4color)로티 핀턱 코튼 면 반바지 _쏭룸,10%,"30,240원","33,600원",10개 구매중,바지
https://image.brandi.me/cproduct/2022/04/14/SB000000000059319291_1649922999_image1_S.jpeg,하루배송,뮤즈핏,(3color/찰랑찰랑) 골지 핀턱 부츠컷팬츠_뮤즈핏,5%,"14,060원","14,800원",16개 구매중,바지
https://image.brandi.me/cproduct/2022/04/13/SB000000000059188128_1649825296_image1_S.jpeg,하루배송,글로인,[기획데님] 페론 흑청 루즈핏 데님 PT _글로인,10%,"24,930원","27,700원",10개 구매중,바지
