이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/05/18/SB000000000062382844_1652854879_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][무려12컬러~/여름필수템!] 햇빛차단! 여리함을 담은, 루즈핏 시스루 거즈 남방 긴팔셔츠 (12color)_앤드모어",10%,19530,21700,647 ,상의
https://image.brandi.me/cproduct/2022/05/09/SB000000000061567456_1652076273_image1_S.jpeg,하루배송,라프랑,[기획/6COL] 오브 써머 더블 엑스 스트랩 포인트 실키 새틴 뷔스티에 나시_라프랑,10%,13320,14800,500 ,상의
https://image.brandi.me/cproduct/2022/05/06/SB000000000061414768_1651825788_image1_S.jpeg,하루배송,프렌치오브,(4color)이븐 여름 사선 퍼프 크롭 반팔 블라우스_프렌치오브,10%,30240,33600,870 ,상의
https://image.brandi.me/cproduct/2022/04/19/SB000000000059735654_1650358840_image1_S.jpeg,하루배송,어니스트,피아노 뒷주름 반팔 블라우스 (3컬러)_어니스트,10%,31950,35500,187 ,상의
https://image.brandi.me/cproduct/2020/06/28/17786204_1593354326_image1_M.jpg,하루배송,블리즈,박시핏 여리여리 여름셔츠 시스루 남방_블리즈,10%,19530,21700,"11,526 ",상의
https://image.brandi.me/cproduct/2022/04/19/SB000000000059758845_1650375535_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][세미크롭/파스텔톤] 셔츠의 정석, 데일리 카라 크롭 반팔셔츠 (8color)_앤드모어",10%,19530,21700,"1,823 ",상의
https://image.brandi.me/cproduct/2021/04/09/SB000000000024904981_1617961180_image1_S.jpeg,하루배송,얼그레이,[쿠폰][날씬해보는/가격실화?] 스퀘어넥 퍼프 골지 반팔티_얼그레이,10%,14220,15800,"3,902 ",상의
https://image.brandi.me/cproduct/2022/05/02/SB000000000059863911_1651483050_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][톤다운컬러감/핏예쁨!] 실물보장, 짜임 브이넥 크롭 반팔니트 (6color)_앤드모어",10%,23130,25700,"1,438 ",상의
https://image.brandi.me/cproduct/2022/05/20/SB000000000062689346_1653032509_image1_S.jpeg,하루배송,프렌치오브,튤립 여름 크롭 카라 프릴 퍼프 반팔 블라우스(4color)_프렌치오브,10%,26640,29600,410 ,상의
https://image.brandi.me/cproduct/2022/06/21/SB000000000065637277_1655797930_image1_S.jpeg,하루배송,프렌치오브,몽트 파스텔 부클 크롭 여름 그물 반팔 니트(6color)_프렌치오브,10%,19530,21700,35 ,상의
https://image.brandi.me/cproduct/2022/04/24/SB000000000060173383_1650810121_image1_S.jpeg,하루배송,바이영,[쿠폰]숏(크롭.Ver) 니쥬 브이넥 쫀쫀 반팔티_바이영,10%,14220,15800,879 ,상의
https://image.brandi.me/cproduct/2021/05/06/SB000000000027321644_1620322057_image1_S.jpeg,하루배송,비비드글로우,[쿠폰][여름에도 살 타지 않게~] 시스루 비치 루즈핏 간절기 여름 롱 카라_비비드글로우,10%,23130,25700,"4,851 ",상의
https://image.brandi.me/cproduct/2022/05/27/SB000000000063448146_1653636949_image1_S.jpeg,하루배송,프렌치오브,워밍 린넨 스트링 루즈핏 여름 그물 긴팔 니트(4color)_프렌치오브,10%,28440,31600,251 ,상의
https://image.brandi.me/cproduct/2021/06/19/SB000000000031371555_1624063581_image1_S.jpeg,하루배송,로그인,(재진행) [끈조절 가능!] 여리 슬립 끈 이너 나시 (6 color) _로그인,6%,16730,17800,"5,983 ",상의
https://image.brandi.me/cproduct/2022/05/10/SB000000000061747994_1652184634_image1_S.jpeg,하루배송,쏭룸,(3color/셋업가능)바질 투피스 셋업 반팔 셔츠 남방 _쏭룸,10%,28440,31600,232 ,상의
https://image.brandi.me/cproduct/2022/06/14/SB000000000064914820_1655193124_image1_S.jpeg,하루배송,프렌치오브,웨이브 러플 크롭 여름 퍼프 반팔 블라우스(4color)_프렌치오브,10%,26640,29600,99 ,상의
https://image.brandi.me/cproduct/2022/05/17/SB000000000062380513_1652788624_image1_S.jpeg,하루배송,미우블랑,[필수템/대박편함!!] 푹신 캡내장 부드러운 나시탑 일자 크롭탑 이너 끈나시 필라테스 요가복 _미우블랑,5%,13110,13800,180 ,상의
https://image.brandi.me/cproduct/2022/06/19/SB000000000065451674_1655604699_image1_S.jpeg,하루배송,슈가파우더,[데일리/은은한색감] 레몬트리 케이블 꽈배기 라운드 크롭니트_슈가파우더,10%,19530,21700,56 ,상의
https://image.brandi.me/cproduct/2022/05/18/SB000000000062397761_1652835784_image1_S.jpeg,하루배송,아이딜릭마켓,"[색감예쁨/러블리핏] 페미닌 무드/깔끔한 핏, 와플 카라 반팔 블라우스_아이딜릭마켓",10%,17730,19700,139 ,상의
