이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/03/23/SB000000000056895424_1648029047_image1_S.jpeg,하루배송,투홀릭,(갓성비템/여름까지쭉~) 골지 볼레로 가디건 크롭 나시 세트 6color_투홀릭,10%,"31,950원","35,500원",558개 구매중,원피스
https://image.brandi.me/cproduct/2021/03/29/SB000000000023759092_1617009829_image1_S.jpeg,하루배송,더모닌,(재진행) 지엔느 브이넥 린넨 랩 원피스 (3color)_더모닌,10%,"19,530원","21,700원","2,957개 구매중",원피스
https://image.brandi.me/cproduct/2021/07/23/SB000000000034543092_1627051431_image1_S.jpeg,하루배송,아미엘르,프린 린넨 스퀘어넥 스모크 밴딩 퍼프 벌룬 반팔 롱 원피스 3color_아미엘르,9%,"39,490원","43,400원",229개 구매중,원피스
https://image.brandi.me/cproduct/2021/02/24/SB000000000021127283_1614185030_image1_S.jpeg,하루배송,미우블랑,[가디건+원피스set] 슬림핏 나시 롱원피스 가디건 세트 (핏강추!!)_미우블랑,8%,"25,480원","27,700원","2,968개 구매중",원피스
https://image.brandi.me/cproduct/2022/05/10/SB000000000061713871_1652173351_image1_S.jpeg,하루배송,프렌치오브,(4color)하몽 린넨 여름 트위드 반팔 자켓 스커트 셋업 세트_프렌치오브,10%,"49,680원","55,200원",142개 구매중,원피스
https://image.brandi.me/cproduct/2022/03/31/SB000000000057782807_1648730849_image1_S.jpeg,하루배송,박남매x하루배송,아르민 반팔자켓 + 롱스커트 셋업 세트 P000BIDJ_박남매_2,10%,"63,900원","71,000원","1,379개 구매중",원피스
https://image.brandi.me/cproduct/2022/04/12/SB000000000059080391_1649741675_image1_S.jpeg,하루배송,프렌치오브,(3color)듀즈 스트링 여름 반팔 롱 원피스_프렌치오브,10%,"42,570원","47,300원",329개 구매중,원피스
https://image.brandi.me/cproduct/2021/06/18/SB000000000031254826_1624022951_image1_S.jpeg,하루배송,더모닌,[쿠폰] [날씬허리핏!] 심플 코튼 셔츠 원피스 3color_더모닌,10%,"31,950원","35,500원",629개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/11/SB000000000061774192_1652278512_image1_S.jpeg,하루배송,헤이로지즈,[쿠폰/예쁜핏!] 청순 핀턱 A라인 리본끈 원피스 _헤이로지즈,10%,"28,440원","31,600원",78개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/16/SB000000000059989044_1652683701_image1_S.jpeg,하루배송,무드모드,토마토 카라 데님 플리츠 원피스_무드모드,10%,"33,660원","37,400원",149개 구매중,원피스
https://image.brandi.me/cproduct/2020/04/15/15520564_1586960714_image1_M.jpg,하루배송,아이메리,[쿠폰][색감예쁨/4col] 브이넥 기본 뷔스티에 끈 나시 슬립 이너 민소매 롱 원피스 _아이메리,10%,"23,130원","25,700원","2,581개 구매중",원피스
https://image.brandi.me/cproduct/2021/08/03/SB000000000035311146_1627952504_image1_S.jpeg,하루배송,코튼로그,[여신룩!] 하니 청순 뒷리본 브이넥 반팔 원피스_코튼로그,10%,"23,130원","25,700원",109개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/03/SB000000000063745951_1654232111_image1_S.jpeg,하루배송,앤드모어,"[남심저격!/기장선택] 여친룩 정석, 쫀득~ 슬림핏 스퀘어넥 무지 미니원피스 (6color)_앤드모어",10%,"16,020원","17,800원",167개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/27/SB000000000060535595_1651054383_image1_S.jpeg,하루배송,먼데이로우,[날씬핏/추천♥] 에이프 여리 볼륨 캉캉원피스_먼데이로우,10%,"21,330원","23,700원",379개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/20/SB000000000065271073_1655705598_image1_S.jpeg,하루배송,앤드모어,"[뒷태포인트!/여신무드] 예쁨보장, 브이넥 퍼프 반팔 미니원피스 (3color)_앤드모어",10%,"19,530원","21,700원",33개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/30/SB000000000060865697_1651294620_image1_S.jpeg,하루배송,스윗라떼x하루배송,[꾸안꾸 홈웨어추천!!] 박시핏 칠튼 레터링 배색 반팔 롱원피스 4color_스윗라떼_2,10%,"19,530원","21,700원",228개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/19/SB000000000062627412_1652980979_image1_S.jpeg,하루배송,애플망고,[꾸안꾸/체형커버] 루즈핏 데일리 카라 반팔 원피스 [3color] _애플망고,10%,"24,930원","27,700원",157개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/26/SB000000000029153227_1622040944_image1_S.jpeg,하루배송,마이블링,[3color/러블리~!] 썸머 브리즈 브이넥 허리끈 리본 퍼프 랩 반팔 롱 원피스 하객 데이트_마이블링,10%,"35,460원","39,400원","2,184개 구매중",원피스
https://image.brandi.me/cproduct/2022/05/27/SB000000000063449964_1653637783_image1_S.jpeg,하루배송,프렌치오브,레토 리본 린넨 나시 여름 미니 원피스(3color)_프렌치오브,10%,"40,770원","45,300원",103개 구매중,원피스
